Designator,Mid X,Mid Y,Layer,Rotation
U30,189.949302,-51.299000,Top,180.000000
U31,190.186802,-59.924000,Top,180.000000
U32,190.286802,-67.924000,Top,180.000000
U33,189.974302,-76.399000,Top,180.000000
U34,190.111802,-84.924000,Top,180.000000
U35,190.311802,-93.474000,Top,180.000000
U36,147.075000,-36.705000,Top,270.000000
U37,147.200000,-72.700000,Top,270.000000
U38,146.575000,-111.405000,Top,270.000000
U39,146.400000,-155.105000,Top,270.000000
U43,63.836500,-42.316818,Top,90.000000
U60,83.887500,-24.800000,Top,0.000000
U61,99.037500,-24.775000,Top,0.000000
U62,114.200000,-24.800000,Top,0.000000
U63,128.700000,-24.800000,Top,0.000000
U64,83.862500,-34.375000,Top,0.000000
U65,98.937500,-34.425000,Top,0.000000
U66,114.225000,-34.562500,Top,0.000000
U67,128.562500,-34.575000,Top,0.000000
U68,83.637500,-44.325000,Top,0.000000
U69,98.837500,-44.325000,Top,0.000000
U70,114.100000,-44.350000,Top,0.000000
U71,128.637500,-44.375000,Top,0.000000
U72,83.537500,-54.300000,Top,0.000000
U73,98.837500,-54.550000,Top,0.000000
U74,113.900000,-54.475000,Top,0.000000
U75,128.437500,-54.250000,Top,0.000000
U76,83.625000,-64.175000,Top,0.000000
U77,98.762500,-64.300000,Top,0.000000
U78,113.962500,-64.500000,Top,0.000000
U79,128.462500,-64.225000,Top,0.000000
U80,83.525000,-73.837500,Top,0.000000
U81,98.712500,-73.937500,Top,0.000000
U82,113.812500,-74.087500,Top,0.000000
U83,128.375000,-73.812500,Top,0.000000
U92,205.549302,-63.774000,Top,90.000000
U93,147.075000,-25.795000,Top,270.000000
U94,147.225000,-62.125000,Top,270.000000
U95,146.575000,-100.655000,Top,270.000000
U96,146.400000,-144.300000,Top,270.000000
U100,83.562500,-89.375000,Top,0.000000
U101,99.000000,-89.525000,Top,0.000000
U102,114.137500,-89.525000,Top,0.000000
U103,128.637500,-89.425000,Top,0.000000
U104,83.662500,-99.175000,Top,0.000000
U105,99.037500,-99.125000,Top,0.000000
U106,114.125000,-99.100000,Top,0.000000
U107,128.537500,-99.175000,Top,0.000000
U108,83.637500,-108.975000,Top,0.000000
U109,98.862500,-108.825000,Top,0.000000
U110,114.137500,-109.025000,Top,0.000000
U111,128.462500,-109.075000,Top,0.000000
U112,83.437500,-119.025000,Top,0.000000
U113,98.737500,-118.975000,Top,0.000000
U114,113.825000,-119.100000,Top,0.000000
U115,128.225000,-119.050000,Top,0.000000
U116,83.462500,-128.875000,Top,0.000000
U117,98.662500,-128.975000,Top,0.000000
U118,113.937500,-129.075000,Top,0.000000
U119,128.437500,-128.925000,Top,0.000000
U120,83.437500,-138.675000,Top,0.000000
U121,98.662500,-138.650000,Top,0.000000
U122,113.862500,-138.750000,Top,0.000000
U123,128.262500,-138.675000,Top,0.000000
U124,83.537500,-148.975000,Top,0.000000
U125,98.862500,-148.950000,Top,0.000000
U126,114.025000,-149.050000,Top,0.000000
U127,128.462500,-149.075000,Top,0.000000
U128,83.537500,-158.675000,Top,0.000000
U129,98.737500,-158.875000,Top,0.000000
U130,114.037500,-158.725000,Top,0.000000
U131,128.337500,-158.725000,Top,0.000000
U132,64.300000,-74.800000,Top,90.000000
